Date,Nb_Cas_Cumulatif,Nb_Nvx_Cas,Nb_Deces_Cumulatif_Total,Nb_Deces_Cumulatif_CHCHSLD,Nb_Deces_Cumulatif_RPA,Nb_Deces_Cumulatif_DomInc,Nb_Deces_Cumulatif_Autre,Nb_Nvx_Deces_Total,Nb_Nvx_Deces_CHCHSLD,Nb_Nvx_Deces_RPA,Nb_Nvx_Deces_DomInc,Nb_Nvx_Deces_Autre
Date inconnue,0,0,0,0,0,0,0,105,12,20,68,5
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,1,1,0,0,0,0,0,0,0,0,0,0
2020-03-07,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,3,2,0,0,0,0,0,0,0,0,0,0
2020-03-12,5,2,0,0,0,0,0,0,0,0,0,0
2020-03-13,6,1,0,0,0,0,0,0,0,0,0,0
2020-03-14,7,1,0,0,0,0,0,0,0,0,0,0
2020-03-15,9,2,0,0,0,0,0,0,0,0,0,0
2020-03-16,14,5,1,0,1,0,0,1,0,1,0,0
2020-03-17,18,4,2,0,1,1,0,1,0,0,1,0
2020-03-18,26,8,3,1,1,1,0,1,1,0,0,0
2020-03-19,74,48,4,1,2,1,0,1,0,1,0,0
2020-03-20,149,75,4,1,2,1,0,0,0,0,0,0
2020-03-21,288,139,5,1,3,1,0,1,0,1,0,0
2020-03-22,459,171,5,1,3,1,0,0,0,0,0,0
2020-03-23,717,258,8,2,3,3,0,3,1,0,2,0
2020-03-24,937,220,10,3,3,4,0,2,1,0,1,0
2020-03-25,1186,249,18,7,6,4,1,8,4,3,0,1
2020-03-26,1530,344,27,9,8,9,1,9,2,2,5,0
2020-03-27,1963,433,30,11,9,9,1,3,2,1,0,0
2020-03-28,2368,405,44,20,11,12,1,14,9,2,3,0
2020-03-29,2868,500,54,26,12,15,1,10,6,1,3,0
2020-03-30,3471,603,67,35,13,18,1,13,9,1,3,0
2020-03-31,4224,753,83,47,13,20,3,16,12,0,2,2
2020-04-01,4798,574,99,60,15,21,3,16,13,2,1,0
2020-04-02,5513,715,121,75,18,24,4,22,15,3,3,1
2020-04-03,6126,613,159,101,24,29,5,38,26,6,5,1
2020-04-04,6749,623,203,128,35,33,7,44,27,11,4,2
2020-04-05,7255,506,251,162,43,37,9,48,34,8,4,2
2020-04-06,7867,612,302,202,48,41,11,51,40,5,4,2
2020-04-07,8687,820,359,247,56,44,12,57,45,8,3,1
2020-04-08,9240,553,417,292,61,52,12,58,45,5,8,0
2020-04-09,10048,808,484,340,67,61,16,67,48,6,9,4
2020-04-10,10611,563,552,388,78,67,19,68,48,11,6,3
2020-04-11,11263,652,622,443,87,68,24,70,55,9,1,5
2020-04-12,12084,821,710,510,99,74,27,88,67,12,6,3
2020-04-13,12944,860,805,573,115,86,31,95,63,16,12,4
2020-04-14,13995,1051,896,635,130,97,34,91,62,15,11,3
2020-04-15,14879,884,996,706,146,107,37,100,71,16,10,3
2020-04-16,15741,862,1088,780,158,112,38,92,74,12,5,1
2020-04-17,16575,834,1177,841,171,123,42,89,61,13,11,4
2020-04-18,17262,687,1275,918,184,129,44,98,77,13,6,2
2020-04-19,17919,657,1401,1016,202,136,47,126,98,18,7,3
2020-04-20,18618,699,1504,1102,212,139,51,103,86,10,3,4
2020-04-21,19287,669,1619,1196,226,143,54,115,94,14,4,3
2020-04-22,20082,795,1737,1281,241,158,57,118,85,15,15,3
2020-04-23,20828,746,1853,1366,256,167,64,116,85,15,9,7
2020-04-24,21604,776,1967,1452,270,178,67,114,86,14,11,3
2020-04-25,22279,675,2092,1544,291,189,68,125,92,21,11,1
2020-04-26,22883,604,2201,1626,306,199,70,109,82,15,10,2
2020-04-27,23575,692,2319,1710,324,205,80,118,84,18,6,10
2020-04-28,24383,808,2457,1810,344,217,86,138,100,20,12,6
2020-04-29,25230,847,2610,1908,372,236,94,153,98,28,19,8
2020-04-30,26041,811,2730,1986,392,249,103,120,78,20,13,9
2020-05-01,26886,845,2867,2081,420,257,109,137,95,28,8,6
2020-05-02,27644,758,2983,2160,441,263,119,116,79,21,6,10
2020-05-03,28375,731,3080,2220,461,272,127,97,60,20,9,8
